sample	Mitf	Axl	Erbb3	patient	celltype1	celltype2
A01	0.0	141.07	0.0	mouse1	No	Yes
A02	0.0	123.96	0.0	mouse1	No	Yes
A03	126.66	0.0	14.76	mouse1	Yes	No
A05	0.0	22.04	0.0	mouse1	No	Yes
A06	0.0	215.61	25.08	mouse1	No	No
A07	0.0	101.43	0.0	mouse1	No	Yes
A08	0.0	16.44	0.0	mouse1	No	Yes
A09	0.0	135.47	70.85	mouse1	No	No
A10	28.84	73.72	0.0	mouse1	No	Yes
A11	0.0	0.0	109.76	mouse1	No	No
A12	0.0	455.43	0.0	mouse1	No	Yes
B01	0.0	56.45	74.19	mouse1	No	No
B02	0.0	41.25	0.0	mouse1	No	Yes
B03	0.0	65.44	0.08	mouse1	No	No
B04	0.33	190.47	0.0	mouse1	No	Yes
B05	0.0	39.86	0.0	mouse1	No	Yes
B06	0.0	191.66	0.0	mouse1	No	Yes
B07	0.0	0.0	0.0	mouse1	No	No
B08	0.0	118.59	0.0	mouse1	No	Yes
B09	23.13	0.0	76.81	mouse1	Yes	No
B10	0.0	161.6	0.87	mouse1	No	No
B11	0.0	41.5	0.0	mouse1	No	Yes
B12	0.22	69.61	0.0	mouse1	No	Yes
C01	0.0	250.14	0.0	mouse1	No	Yes
C02	0.0	250.17	0.0	mouse1	No	Yes
C03	0.0	60.21	0.0	mouse1	No	Yes
C04	0.0	86.97	0.04	mouse1	No	No
C05	0.0	47.52	0.0	mouse1	No	Yes
C06	0.0	0.0	0.0	mouse1	No	No
C07	4.87	254.14	0.0	mouse1	No	Yes
C08	0.0	108.62	0.0	mouse1	No	Yes
C09	51.41	0.0	19.93	mouse1	Yes	No
C10	72.27	0.0	21.74	mouse1	Yes	No
C11	0.0	175.05	0.0	mouse1	No	Yes
C12	0.0	38.2	0.0	mouse1	No	Yes
D01	24.41	0.0	0.0	mouse1	Yes	No
D02	0.0	77.83	0.0	mouse1	No	Yes
D03	0.0	243.62	0.0	mouse1	No	Yes
D04	0.0	65.88	58.58	mouse1	No	No
D05	0.0	170.01	0.0	mouse1	No	Yes
D06	0.0	98.43	0.0	mouse1	No	Yes
D07	0.0	0.0	0.0	mouse1	No	No
D08	32.17	164.16	56.82	mouse1	No	No
D09	0.0	155.79	83.4	mouse1	No	No
D10	0.0	94.61	0.0	mouse1	No	Yes
D11	6.37	41.07	0.0	mouse1	No	Yes
D12	0.0	23.88	12.41	mouse1	No	No
E01	21.58	0.0	0.0	mouse1	Yes	No
E02	0.0	162.77	0.0	mouse1	No	Yes
E03	0.0	66.7	0.0	mouse1	No	Yes
E04	0.0	76.61	131.07	mouse1	No	No
E05	69.49	516.72	0.0	mouse1	No	Yes
E06	23.29	0.0	3.62	mouse1	Yes	No
E07	0.0	62.81	81.77	mouse1	No	No
E08	41.74	96.58	0.0	mouse1	No	Yes
E09	72.09	0.0	41.97	mouse1	Yes	No
E10	1.03	15.59	0.0	mouse1	No	Yes
E11	0.0	60.18	0.0	mouse1	No	Yes
E12	5.05	161.97	100.29	mouse1	No	No
F01	6.05	182.67	74.73	mouse1	No	No
F02	0.5	251.22	0.0	mouse1	No	Yes
F03	51.93	0.0	26.45	mouse1	Yes	No
F04	22.35	134.98	36.48	mouse1	No	No
F05	0.0	181.53	35.66	mouse1	No	No
F06	0.0	110.16	0.0	mouse1	No	Yes
F07	0.0	20.82	0.0	mouse1	No	Yes
F08	7.1	100.26	0.0	mouse1	No	Yes
F09	0.0	0.0	0.0	mouse1	No	No
F10	27.25	15.23	61.7	mouse1	No	No
F11	1.91	66.06	0.0	mouse1	No	Yes
F12	0.0	106.9	0.0	mouse1	No	Yes
G01	0.0	38.64	0.0	mouse1	No	Yes
G02	0.0	257.19	4.71	mouse1	No	No
G03	0.0	223.41	0.0	mouse1	No	Yes
G04	6.85	116.54	0.0	mouse1	No	Yes
G05	46.14	0.0	10.4	mouse1	Yes	No
G06	0.0	305.96	0.0	mouse1	No	Yes
G07	1.34	98.66	0.0	mouse1	No	Yes
G08	17.02	20.98	0.0	mouse1	No	Yes
G09	59.31	0.0	3.21	mouse1	Yes	No
G10	26.25	0.0	34.91	mouse1	Yes	No
G11	5.55	0.0	10.96	mouse1	Yes	No
G12	0.0	50.77	0.0	mouse1	No	Yes
H01	613.47	0.0	0.0	mouse1	Yes	No
H02	0.0	152.57	0.0	mouse1	No	Yes
H03	0.0	75.94	0.0	mouse1	No	Yes
H04	0.0	195.21	0.0	mouse1	No	Yes
H05	25.92	176.24	9.24	mouse1	No	No
H06	0.0	36.57	0.0	mouse1	No	Yes
H07	0.0	62.84	0.0	mouse1	No	Yes
H08	0.0	94.05	0.0	mouse1	No	Yes
H09	0.0	113.79	0.0	mouse1	No	Yes
H10	0.0	49.24	0.0	mouse1	No	Yes
H11	0.0	108.46	0.0	mouse1	No	Yes
H12	0.0	82.47	0.0	mouse1	No	Yes
